Freq.	V(N002,N004)	V(n001)	V(n002)	V(n003)	V(n004)	I(C1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(V1)
2.31704750059208e+004	(-3.28271860871448e+000dB,-4.67428634571512e+001°)	(-6.02059991326369e+000dB,-8.20409171231940e-013°)	(-9.30331852197804e+000dB,-4.67428634570403e+001°)	(-6.02059991329556e+000dB,-1.79999999999999e+002°)	(-9.30331852201018e+000dB,1.33257136542738e+002°)	(-8.00204224989976e+001dB,4.32571365428489e+001°)	(-3.39794000867204e+001dB,-4.50432176778156e-018°)	(-8.00204224989976e+001dB,-1.36742863457151e+002°)	(-8.00204224989976e+001dB,4.32571365428488e+001°)	(-1.26020599913264e+002dB,1.79999999999999e+002°)	(-1.26020599913296e+002dB,-1.79999999999999e+002°)	(-3.39476357666411e+001dB,-1.79804859144335e+002°)
2.48335002257063e+004	(-3.61240816468836e+000dB,-4.87191685023951e+001°)	(-6.02059991327788e+000dB,1.97318630667943e-013°)	(-9.63300807796628e+000dB,-4.87191685023819e+001°)	(-6.02059991328137e+000dB,1.80000000000000e+002°)	(-9.63300807796969e+000dB,1.31280831497592e+002°)	(-7.97480520636436e+001dB,4.12808314976049e+001°)	(-3.39794000867204e+001dB,-8.47783120602658e-018°)	(-7.97480520636436e+001dB,-1.38719168502395e+002°)	(-7.97480520636436e+001dB,4.12808314976049e+001°)	(-1.26020599913278e+002dB,-1.80000000000000e+002°)	(-1.26020599913281e+002dB,1.80000000000000e+002°)	(-3.39456017817480e+001dB,-1.79806188055728e+002°)
2.66158865238011e+004	(-3.96259824213945e+000dB,-5.06778393847467e+001°)	(-6.02059991325396e+000dB,6.95100286398418e-013°)	(-9.98319815539354e+000dB,-5.06778393845393e+001°)	(-6.02059991330530e+000dB,1.79999999999999e+002°)	(-9.98319815544462e+000dB,1.29322160615046e+002°)	(-7.94961821497667e+001dB,3.93221606152533e+001°)	(-3.39794000867204e+001dB,-9.21414373742657e-018°)	(-7.94961821497667e+001dB,-1.40677839384747e+002°)	(-7.94961821497667e+001dB,3.93221606152533e+001°)	(-1.26020599913254e+002dB,-1.79999999999999e+002°)	(-1.26020599913305e+002dB,1.79999999999999e+002°)	(-3.39436048454421e+001dB,-1.79808413605514e+002°)
2.85262008580874e+004	(-4.33283100002205e+000dB,-5.26099903206780e+001°)	(-6.02059991325545e+000dB,-1.77961973660768e-013°)	(-1.03534309132775e+001dB,-5.26099903204696e+001°)	(-6.02059991330380e+000dB,-1.80000000000000e+002°)	(-1.03534309133259e+001dB,1.27390009679113e+002°)	(-7.92643549163213e+001dB,3.73900096793220e+001°)	(-3.39794000867204e+001dB,-5.06546623043449e-018°)	(-7.92643549163213e+001dB,-1.42609990320678e+002°)	(-7.92643549163213e+001dB,3.73900096793220e+001°)	(-1.26020599913255e+002dB,1.80000000000000e+002°)	(-1.26020599913304e+002dB,-1.80000000000000e+002°)	(-3.39416624799064e+001dB,-1.79811484421921e+002°)
3.05736250666781e+004	(-4.72247917105855e+000dB,-5.45073386269762e+001°)	(-6.02059991328091e+000dB,-1.90062990300922e-013°)	(-1.07430790843394e+001dB,-5.45073386269883e+001°)	(-6.02059991327834e+000dB,-1.80000000000000e+002°)	(-1.07430790843369e+001dB,1.25492661373036e+002°)	(-7.90519430960299e+001dB,3.54926613730238e+001°)	(-3.39794000867204e+001dB,-4.05009807436386e-018°)	(-7.90519430960299e+001dB,-1.44507338626976e+002°)	(-7.90519430960299e+001dB,3.54926613730238e+001°)	(-1.26020599913281e+002dB,1.80000000000000e+002°)	(-1.26020599913278e+002dB,-1.80000000000000e+002°)	(-3.39397902544735e+001dB,-1.79815331941320e+002°)
3.27680000000000e+004	(-5.13076802275506e+000dB,-5.63623633857193e+001°)	(-6.02059991327276e+000dB,-4.46271578742497e-013°)	(-1.11513679360277e+001dB,-5.63623633856517e+001°)	(-6.02059991328648e+000dB,-1.80000000000000e+002°)	(-1.11513679360417e+001dB,1.23637636614213e+002°)	(-7.88581719563984e+001dB,3.36376366142807e+001°)	(-3.39794000867204e+001dB,-2.70676372897244e-017°)	(-7.88581719563984e+001dB,-1.46362363385719e+002°)	(-7.88581719563984e+001dB,3.36376366142807e+001°)	(-1.26020599913273e+002dB,1.80000000000000e+002°)	(-1.26020599913286e+002dB,-1.80000000000000e+002°)	(-3.39380013490484e+001dB,-1.79819873995271e+002°)
3.51198728203892e+004	(-5.55680101030156e+000dB,-5.81684254286011e+001°)	(-6.02059991327380e+000dB,-1.25284036749440e-013°)	(-1.15774009235753e+001dB,-5.81684254285393e+001°)	(-6.02059991328545e+000dB,-1.80000000000000e+002°)	(-1.15774009235870e+001dB,1.21831574571337e+002°)	(-7.86821449526170e+001dB,3.18315745713989e+001°)	(-3.39794000867204e+001dB,6.38794723430840e-018°)	(-7.86821449526170e+001dB,-1.48168425428601e+002°)	(-7.86821449526170e+001dB,3.18315745713989e+001°)	(-1.26020599913274e+002dB,1.80000000000000e+002°)	(-1.26020599913285e+002dB,-1.80000000000000e+002°)	(-3.39363062815448e+001dB,-1.79825018827035e+002°)
3.76405476965428e+004	(-5.99958743123994e+000dB,-5.99198458458866e+001°)	(-6.02059991327710e+000dB,-4.90426623031463e-013°)	(-1.20201873445169e+001dB,-5.99198458458584e+001°)	(-6.02059991328214e+000dB,-1.80000000000000e+002°)	(-1.20201873445222e+001dB,1.20080154154085e+002°)	(-7.85228713822274e+001dB,3.00801541541134e+001°)	(-3.39794000867204e+001dB,-1.34181773873560e-017°)	(-7.85228713822274e+001dB,-1.49919845845887e+002°)	(-7.85228713822274e+001dB,3.00801541541134e+001°)	(-1.26020599913277e+002dB,1.80000000000000e+002°)	(-1.26020599913282e+002dB,-1.80000000000000e+002°)	(-3.39347128014997e+001dB,-1.79830669198510e+002°)
4.03421401364862e+004	(-6.45807044574429e+000dB,-6.16119435320738e+001°)	(-6.02059991327037e+000dB,-3.65415915199630e-013°)	(-1.24786703590146e+001dB,-6.16119435319611e+001°)	(-6.02059991328888e+000dB,-1.80000000000000e+002°)	(-1.24786703590333e+001dB,1.18388056467814e+002°)	(-7.83792944054038e+001dB,2.83880564679262e+001°)	(-3.39794000867204e+001dB,-9.89585842921708e-019°)	(-7.83792944054038e+001dB,-1.51611943532074e+002°)	(-7.83792944054038e+001dB,2.83880564679262e+001°)	(-1.26020599913270e+002dB,1.80000000000000e+002°)	(-1.26020599913289e+002dB,-1.80000000000000e+002°)	(-3.39332259360569e+001dB,-1.79836726285004e+002°)
4.32376352202061e+004	(-6.93115402459857e+000dB,-6.32410350684123e+001°)	(-6.02059991330416e+000dB,3.08787133020772e-013°)	(-1.29517539379028e+001dB,-6.32410350687329e+001°)	(-6.02059991325509e+000dB,1.80000000000000e+002°)	(-1.29517539378536e+001dB,1.16758964931908e+002°)	(-7.82503179929301e+001dB,2.67589649315877e+001°)	(-3.39794000867204e+001dB,-6.15363150598441e-018°)	(-7.82503179929301e+001dB,-1.53241035068412e+002°)	(-7.82503179929301e+001dB,2.67589649315877e+001°)	(-1.26020599913304e+002dB,-1.80000000000000e+002°)	(-1.26020599913255e+002dB,1.80000000000000e+002°)	(-3.39318481627195e+001dB,-1.79843093121551e+002°)
4.63409500118415e+004	(-7.41772768205917e+000dB,-6.48044022773149e+001°)	(-6.02059991324975e+000dB,-4.25821606062913e-013°)	(-1.34383275953088e+001dB,-6.48044022768964e+001°)	(-6.02059991330950e+000dB,-1.80000000000000e+002°)	(-1.34383275953688e+001dB,1.15195597722267e+002°)	(-7.81348316590627e+001dB,2.51955977226851e+001°)	(-3.39794000867204e+001dB,1.38329693077224e-017°)	(-7.81348316590627e+001dB,-1.54804402277315e+002°)	(-7.81348316590627e+001dB,2.51955977226851e+001°)	(-1.26020599913250e+002dB,1.80000000000000e+002°)	(-1.26020599913310e+002dB,-1.80000000000000e+002°)	(-3.39305796765429e+001dB,-1.79849677445466e+002°)
4.96670004514127e+004	(-7.91668819117950e+000dB,-6.63002339824645e+001°)	(-6.02059991329732e+000dB,-1.75675949984319e-014°)	(-1.39372881044768e+001dB,-6.63002339827304e+001°)	(-6.02059991326193e+000dB,-1.80000000000000e+002°)	(-1.39372881044414e+001dB,1.13699766017801e+002°)	(-7.80317321768551e+001dB,2.36997660175355e+001°)	(-3.39794000867204e+001dB,-5.58869552669194e-018°)	(-7.80317321768551e+001dB,-1.56300233982465e+002°)	(-7.80317321768551e+001dB,2.36997660175355e+001°)	(-1.26020599913297e+002dB,1.80000000000000e+002°)	(-1.26020599913262e+002dB,-1.80000000000000e+002°)	(-3.39294187176320e+001dB,-1.79856393861431e+002°)
5.32317730476022e+004	(-8.42695781855014e+000dB,-6.77275489190688e+001°)	(-6.02059991328498e+000dB,2.74049512358459e-013°)	(-1.44475577318352e+001dB,-6.77275489191549e+001°)	(-6.02059991327427e+000dB,1.80000000000000e+002°)	(-1.44475577318243e+001dB,1.12272451081017e+002°)	(-7.79399418128978e+001dB,2.22724510809312e+001°)	(-3.39794000867204e+001dB,8.90930579960701e-018°)	(-7.79399418128978e+001dB,-1.57727548919069e+002°)	(-7.79399418128978e+001dB,2.22724510809312e+001°)	(-1.26020599913285e+002dB,-1.80000000000000e+002°)	(-1.26020599913274e+002dB,1.80000000000000e+002°)	(-3.39283619270177e+001dB,-1.79863165326574e+002°)
5.70524017161747e+004	(-8.94749891877149e+000dB,-6.90861064999033e+001°)	(-6.02059991327044e+000dB,-1.89764813299306e-013°)	(-1.49680988320419e+001dB,-6.90861064997449e+001°)	(-6.02059991328881e+000dB,-1.80000000000000e+002°)	(-1.49680988320604e+001dB,1.10913893499938e+002°)	(-7.78584229217911e+001dB,2.09138935000967e+001°)	(-3.39794000867204e+001dB,-8.13242404016387e-018°)	(-7.78584229217911e+001dB,-1.59086106499903e+002°)	(-7.78584229217911e+001dB,2.09138935000967e+001°)	(-1.26020599913270e+002dB,1.80000000000000e+002°)	(-1.26020599913289e+002dB,-1.80000000000000e+002°)	(-3.39274047039115e+001dB,-1.79869924007403e+002°)
6.11472501333561e+004	(-9.47732497490714e+000dB,-7.03763114382173e+001°)	(-6.02059991328372e+000dB,-1.06436765453558e-012°)	(-1.54979248881904e+001dB,-7.03763114382941e+001°)	(-6.02059991327553e+000dB,-1.79999999999999e+002°)	(-1.54979248881831e+001dB,1.09623688561859e+002°)	(-7.77861889865988e+001dB,1.96236885617827e+001°)	(-3.39794000867204e+001dB,1.22693478455734e-017°)	(-7.77861889865988e+001dB,-1.60376311438217e+002°)	(-7.77861889865988e+001dB,1.96236885617827e+001°)	(-1.26020599913284e+002dB,1.79999999999999e+002°)	(-1.26020599913276e+002dB,-1.79999999999999e+002°)	(-3.39265415436500e+001dB,-1.79876611595876e+002°)
6.55359999999999e+004	(-1.00155083510407e+001dB,-7.15991172470602e+001°)	(-6.02059991328978e+000dB,-4.48333969669635e-013°)	(-1.60361082643303e+001dB,-7.15991172472619e+001°)	(-6.02059991326947e+000dB,-1.80000000000000e+002°)	(-1.60361082643104e+001dB,1.08400882753142e+002°)	(-7.77223123714044e+001dB,1.84008827529398e+001°)	(-3.39794000867204e+001dB,4.67683577488094e-018°)	(-7.77223123714044e+001dB,-1.61599117247060e+002°)	(-7.77223123714044e+001dB,1.84008827529398e+001°)	(-1.26020599913290e+002dB,1.80000000000000e+002°)	(-1.26020599913269e+002dB,-1.80000000000000e+002°)	(-3.39257663422009e+001dB,-1.79883179189698e+002°)
7.02397456407784e+004	(-1.05611851383535e+001dB,-7.27559325419555e+001°)	(-6.02059991325121e+000dB,6.29737402885992e-013°)	(-1.65817850516050e+001dB,-7.27559325413512e+001°)	(-6.02059991330803e+000dB,1.79999999999999e+002°)	(-1.65817850516612e+001dB,1.07244067457440e+002°)	(-7.76659291673893e+001dB,1.72440674580445e+001°)	(-3.39794000867204e+001dB,-5.75059328720059e-018°)	(-7.76659291673893e+001dB,-1.62755932541956e+002°)	(-7.76659291673893e+001dB,1.72440674580445e+001°)	(-1.26020599913251e+002dB,-1.79999999999999e+002°)	(-1.26020599913308e+002dB,1.79999999999999e+002°)	(-3.39250726591001e+001dB,-1.79889586845235e+002°)
7.52810953930856e+004	(-1.11135575350066e+001dB,-7.38485329979827e+001°)	(-6.02059991329031e+000dB,3.66248325996009e-013°)	(-1.71341574482971e+001dB,-7.38485329982257e+001°)	(-6.02059991326894e+000dB,1.80000000000000e+002°)	(-1.71341574482754e+001dB,1.06151467002260e+002°)	(-7.76162415727144e+001dB,1.61514670020173e+001°)	(-3.39794000867204e+001dB,6.07021813991438e-018°)	(-7.76162415727144e+001dB,-1.63848532997983e+002°)	(-7.76162415727144e+001dB,1.61514670020173e+001°)	(-1.26020599913290e+002dB,-1.80000000000000e+002°)	(-1.26020599913269e+002dB,1.80000000000000e+002°)	(-3.39244539356520e+001dB,-1.79895802904490e+002°)
